prompt,response
中电数通公司的愿景目标是什么,"""中国智慧安全科技服务平台领航者"""
中电数通公司员工在行业中的角色定位是什么,"""智慧安全守护者"""
中电数通公司的产品定位是什么,"""专注慧安平台  聚焦安全服务"""
中电数通公司在资本市场的近期目标是什么,"""打造千亿市值中国权威智慧安全大数据风控平台"""
中电数通公司平台的全国战略发展目标是什么,"""五年内完成全国300个慧安城市运营中心、30万个慧安微服务中心、300万慧安服务专员、3000万客户"""
中电数通公司慧安城市运营中心市场发展目标是什么,"""每个慧安城市运营中心部署1000个慧安微服务中心"""
中电数通公司财富共赢目标,五年成就1000个千万级富翁  100个亿级万富翁
智慧消防的定义,"""智慧消防是智慧城市或智慧园区、智慧社区建设的重要组成部分，通过物联网、大数据、云计算实现火灾防控自动化，提前预警做到早发现早消除。通过一张图做到全面掌控消防安全隐患情况。优化消防管理，落实主体责任，改变传统消防被动消极、责任不清、底数不明的局面"""
公司软件平台简称,"""简称'慧安平台'，包括以下三个部分  1、'慧安安全管理平台'(简称慧安管理平台) \n 2、'慧安安全运维服务平台'(简称慧安服务平台) \n 3、'安多多工程任务派单平台' (简称'安多多')"""
公司软件平台全称,"""中电智慧安全大数据风控平台"""
慧安安全管理平台'简称,"""慧安管理平台"""
慧安安全运维服务平台'简称,"""慧安服务平台"""
安多多工程任务派单平台' 简称,"""安多多"""
硬件产品包括内容,"""9系列数百种，含‘火灾自动报警联网监测系统’，‘视频监控系统','独立式无线烟感探测器','温感探测器','可燃气体探测器','水压水位探测器','环境安全检测设备’,‘粉尘探测器’,‘电气火灾探测器’,‘安全教育车’,‘边缘AI分析仪’,‘智慧微型消防柜’等"""
公司产品整体介绍,"""联合'五大权威安全研究机构'共同打造，集大数据、云计算、物联网、人工智能等先进科技为一体，通过线上平台科技服务与线下微服务中心专人服务相结合方式，为客户提供多场景多安全因素24小时不间断智慧监控预警、多人多级联动告警、手机APP移动管理、大数据安全分析报告、保险公司权威保障、专人专业贴身服务等一系列优质服务的全国性高科技平台。"""
慧安平台的用户分类,"""1:政府机构 (应急、消防、安监、街道办) \n 2: 事业单位 (学校、医院) \n 3: 大型企业 ( 中石化、核电站) \n 4、慧安城市运营中心合伙人 \n 5、慧安微服务中心店长 \n 6、慧安服务专员"""
慧安管理平台系统包含哪些模块,"""包含了'信息管理'、'物联监控'、'预警地图'、'统计分析'、'教育培训'、'安全检查'、'隐患处理'以及'应急指挥调度'等，可根据具体情况需要配置"""
慧安服务平台功能模块清单有哪些,""" 包括'城市运营中心'、'微服务中心'、'系统管理'、'用户管理'、'物联监控'、'视频监控'、'服务处所'、'地址管理'、'维保管理'、'事件管理'、'预警地图'、'电商系统'、'客户管理'、'保险保障' """
中电数通线上平台的发展方向是什么,"""以智慧消防为基础，同时不断提升在安全生产、危化品管理、环境污染、职业健康等安全相关领域的技术支撑与服务能力，为客户提供360°全方位线上高科技安全服务"""
中电数通公司线下专业服务发展方向是什么？,"""依托平台线上科技服务为基础，以'慧安微服务中心'为线下依托，根据不同场景安全需求，提供各类标准化、流程化、高质量、有温度的线下贴身专业安全服务"""
中电数通产品的目标是什么,"""以消防安全为切入点垂直深耕至城市大安全领域，采用物联网、大数据、云计算、人工智能等技术为手段建立以安全管理服务及安全运维保障为服务核心的全方位安全服务云平台"""
慧安平台功能满足哪些用户诉求？,"""慧安平台可以面向所有行业，为了更好的匹配客户的诉求，我们可以从以下几个方面精确定位：'应急指挥调度'诉求: 物业、工业园区、政府、校园。'物业安全管理'诉求: 街道，物业，校园，工业园区。'节能增效'诉求: 教育行业、大企业，提升运维和资源使用效率。'安全教育培训'诉求: 街道，校园，政府。'消防安全宣传'诉求：消防教育车，教育行业。'消防安全管理'诉求：市政、工业园区、科技园区、校园、银行、街道、物业。"""
慧安平台面向的客户群体有哪些？,""" 落地智慧消防主要机会点是重点单位或消防风险隐患较多的场景， 一般负责或对安全管理有诉求的是政府各级的'消防监督管理部门'、'应急指挥与救援部门‘，安全监管部门，各大型企事业单位的安全管理责任人及安全管理负责人、企事业单位的安健环办部门、安保部门等 """
政府的智慧消防项目请问找哪些人沟通比较合适,"""最好是负责消防负责人（优先选消防总队长、支队长、大队长）或信通处，其次应急部门：省应急厅长、市应急局、区应急局"""
企业单位的智慧消防项目请问找哪些人沟通比较合适,"""负责消防安全管理的部门或人员，主要是企业‘安健环办’之类部门，其次是后期保障或信息化部门"""
智慧消防项目合作落地的模式有哪几种方式,"""1、政府自行投资建设，属于政府采购模式。\n 2、政府购买服务模式，由政府出台相关政策，由中电数通或合伙人组建运营公司建设，后期政府或企业按年购买服务。\n 3、安全+金融模式，由政府出台相关落地政策，将慧安平台作为政府安全管理和安全服务的考核数据，小微场所业主或经营者在中电数通安全+金融模式联合指定的银行开具信用卡,信用卡在服务期内激活使用即可免费获取一套安全设备及12万元的保险服务(含7万元人身险及5万元的财产险)，小微场所业主可根据经营现状及消防安全信用评分在联合指定的银行经过评估后授予10-30万元的贷款额度。小微场所每月服务费在信用卡中扣除，信用卡每月消费额度达到一定金额可积累抵扣服务费。"""
作为中电数通的城市合伙人需要具备哪些能力或特征,"""1、有政府或各行业资源；2、有资金实力；3、有团队；4、有项目经验或物联网项目经验更有益于合伙人的项目推广落地。\n 在相应区域具备安全服务客户资源且愿意承担组建或联系合适的安全服务机构的个人或公司；可根据其在所负责区域成功销售的项目或设备按平台比例获取销售分成 """
我作为合伙人如何与中电数通进行利润分配？,"""由平台产生的补贴如政府资助、培训费用、数据录入费用等获取的利润与合伙人五五分账，运营服务相关费用与合伙人三七分账(负责运营的一方得七成）"""
中电数通的软件平台稳定性如何,""" 系统平台开发至今已有近十年经验，在全国落地过大量智慧消防项目，如深圳的龙岗、龙华、南宁全市的智慧消防远程监控、山东淄博、临沂、上海浦东新区、青海全省智慧消防。有过海量物联设备接入经验，例如我司在龙岗项目，系统平台在接入了12万家企业信息、50万个设备信息的情况下，依然能够平稳运行。 \n 2）权威性。我们软件的核心技术是风险评估模型，火灾风险评估模型源于原武警学院（现人民警察大学）；我司的龙岗项目，现运行的系统是移动消防监督管理系统，曾荣获全公安机关改革创新大赛银奖，在8000多个竞赛项目中脱颖而出。"""
中电数通的产品是否可实现设备联动使用？,"""技术上完全可以，且平台中集成了规则引擎，可个性化定制设备联动场景及操作"""
中国人民保险集团(PICC)在平台中的主要作用是什么,"""烟感和可燃气体带有保险的功能，一旦发生事故，平台将进行保险理赔，7万人身险和5万财险"""
中电智慧安全大数据风控平台拥有几类场景,"""15类场景数百案例，各场景及典型案例如下：\n 三小商业场所(深圳龙岗) \n 金融机构(光大银行) \n 危化品仓库(中山三角镇)  \n 教育机构(南方科技大学) \n 地产公司(中海地产) \n 老旧社区改造(上海三林镇) \n 物业管理(万科物业) \n 商业综合体(深圳中航苑) \n酒店(深圳上海宾馆 格兰云天) \n 工业园区(深圳高力成) \n 古建筑(北京颐和园) \n 加油站(深圳中石化加油站) \n 有限空间(深圳光明街道) \n 公共管廊(大亚湾石化工业区) \n 医院(深圳市人民医院)。 """
人防、物防、智防分别指的什么？,"""人防是指通过信息化管理手段将日常消防管理的工作采用数字化方式替代并将执行过程闭环管理形成规范化管理流程。 \n 物防是指通过安装物联网终端感知、监测及控制设备，通过对现场安全风险状况的实时感知监测达到快速及时高效的安全风险管理目的。 \n 智防是指通过大数据、云计算、AI分析等技术对安全风险进行提前预判，做到早期预防，减少发生安全风险的概率。"""
中电数通的目标客户群是哪些,""" 需要安全管理及安全运营保障服务的政府消防应急等相关部门及大型企业、物业单位等"""
慧安微服务中心拥有哪些特征？,""" 慧安微服务中心是由慧安城市运营中心在客户场地内设置的，以慧安服务系统线上14类34个服务功能模块为基础，以线下7大标准化安全服务清单为依据，以慧安服务专员为主体，为客户提供全方位、标准化、流程化、高质量、有温度的线上线下相结合的专业贴身安全服务实体机构。慧安微服务中心权责包括如下：\n A、为被服务用户提供安全管理及安全运维服务，承担安全服务合同主体责任。 \n B、负责为被安全服务用户提供安全管理服务或安全运维保障服务 \n C、享受平台系统及涉及的硬件销售分成及获取所有VIP安全增值服务（如承接消控室值班，代为巡检、巡查、安全隐患排查等人工服务）所带来的收益 """
微服务中心的配置要求？,""" 50平米最低面积要求、1000家服务企业主体数量上限、1台电动自行车交通工具配置、以街道为单位或不超过50平方公里服务区域面积、10000个服务物联设备数量上限、店长1名、作为慧安服务专员的工程师2名（具备电工证）。"""
慧安服务线下服务清单有哪些？,""" 共7大类。包括如下： \n '物联网设备运行巡查及故障维修服务' \n '大数据风控赋能中心服务' \n '大数据评估报告报送服务' \n 协助网格员对小微场所'信息数据采集服务' \n 举办社区'安全宣传教育活动服务' \n VIP360°'安全管家服务' \n '安全管理授权托管服务' """
微服务中心值班人员是慧安平台的人还是经培训的客户的人？,""" 微服务中心值班人员以城市运营中心的人为主，也可以是慧安平台的人，但都是经过中电数通总部培训并获取证书的"""
平台采用SaaS方式部署和独立部署有什么不同 ,""" SaaS平台，客户是以租户形式使用。平台软件部分是共用，平台具备一定的客制化功能，数据库是以逻辑隔离方式独立存储，用户数据是不会混合，能减少服务器使用费用。独立部署是根据客户需求，购买云服务器独立部署一套系统。软件部分和数据库部分都是独立的，相对来说服务器费用要比SAAS方式部署来说贵一些，主要用于功能有定制化需求的客户。"""
云独立部署和本地物理服务部署有什么不同和哪些要求？,""" 云独立部署就是直接购买云服务器供应商的云服务器，服务器可以根据业务的变化来增加服务器配置，费用和配置大小相对灵活。 本地物理服务器需要根据客户的机房网络环境和设备来决定购买服器的大小，物理服务器配置大小就要先预估大小后再购买，后期变化少。本地部署需要客户自己提供好网络环境和机房环境"""
中电数通的硬件都是自己生产的吗？,""" 部分核心产品由中电数通掌握核心技术，然后找代工厂生产。其他市场常见的产品比如烟感这样基础的产品，都是长期合作的供应商来提供。 """
什么是微型消防站,微型消防站是以救早、灭小和“三分钟到场”扑救初起火灾为目标，依托单位志愿消防队伍和社区群防群治队伍，在消防安全重点单位和社区建设的最小消防组织单元。
智慧微站是什么？能简单介绍一下吗？,""" 智慧微站是智慧型微型消防站的简称，该产品具有物资管理、人员调度、隐患共治、宣传培训、SOS求助、一键报警、视频监控、智能开柜（灯）等各种功能于一身的社会化智慧微型消防站。另第二代微站还新增了医疗物资管控部分"""
智慧微站中标准版应急柜在不增加存储硬盘的情况下，视频监控本地存储时间最长为多少小时？,""" 70小时"""
智慧微站柜中的身份证认证主要在那种情况下使用？,""" 身份证认证主要用于对医疗物资使用的授权认证，当物资柜配备医疗副柜时，可以通过扫描身份证打开医疗副柜进行医疗物资领取"""
智慧微站是利用什么技术来对物资进行管控的？,""" 柜内物资均有绑定RFID射频标签, 物资管理运用RFID技术,利用无线射频方式在阅读器和射频卡之间进行非接触双向数据传输，以达到目标识别和数据交换的目的，物资出入库，系统自动识别、记录，入库一次后，往后出库、归还都不需要任何操作，系统自动记录"""
智慧微站如何安装和管理？,""" 智慧微站一般设立在辖区的醒目位置（室外室内均可），且需配有电源、网线。由街道或物业建设和管理，人员配置3-6人，1名担任站长，其他成员应接受基本灭火技能培训，可以是保安、治安联防队员、社区工作人员或志愿者。柜内物资配备一定数量灭火器材、通信器材，消防头盔、灭火防护服、防护靴、破拆工作等。智慧微站管理应建立值守制度，确保值守人员24小时在岗在位，做好应急准备。还应定期开展本技能训练、熟悉单位或社区情况，提高扑救初起火灾的能力。同时，应纳入当地灭火救援联勤联动体系。"""
智慧微站的物资柜如何管理？,""" 物资柜的运营以及柜内物资（物资柜的管理、物资的添加、物资的盘点等）可由街道或社区直接安排相关人员负责，也可由街道或社区安排辖区内的重点单位负责。物资柜本体的的维护由我司技术人员负责"""
智慧微站柜的一键呼叫功能有何作用？,""" 一键呼叫功能主要对于不懂如何使用灭火器材及医疗设备的公众，在发现火灾事故或应急事件时，通过一键呼叫功能拨打相关人员的电话进行事件上报，相关人员的电话可通过后台进行设置"""
物资柜柜主要由哪几部分组成？,""" 标准的微站物资柜主要由一个电气主柜及一个消防物资副柜组成，电气主柜主要是物资柜各种功能的操作及大屏展示，消防物资副柜主要存放消防物资。同时还可根据具体场景的需要，由一个电气主柜配备多个消防物资副柜或医疗物资副柜组成，副柜数量的配备自由灵活。"""
社会公众如何使用微站柜内的消防物资？,""" 微站柜中有一键报警按键，社会公众在发生火灾事故需要使用消防物资时，可通过按下一键报警按钮打开消防柜领取消防物资，注意，需连续按下两次一键报警按钮，消防柜才会自动开门，按下一次时只会发出声光报警。"""
中电数通的边缘AI分析仪目前拥有多少种算法？,""" 21种；火焰检测，烟雾检测，监控室人员在岗检测，消防通道阻塞检测，攀爬检测，入侵检测，安全帽检测，戴帽子检测，安全背心检测，在岗玩手机检测，车辆进出敬礼检测，睡岗检测，白色T恤检测，人员着装检测，白色手套检测，黑色毛衣，车辆违停检测，打电话检测，明火抽烟检测，电动车进电梯预警，口罩检测。"""
边缘AI分析仪支持哪些场景和算法？,""" 一、消防安全：火焰、烟雾检测、消控室人员在岗离岗检测、消防通道阻塞检测、车辆违停检测。 \n 二、公共安全（可用于学校、医院、仓库等高风险场所）：入侵检测、攀爬检测、面部情绪分析检测、人员呼救识别。 \n 三、物业管理：敬礼检测、睡岗检测、规范着装检测、在岗玩手机检测。 \四、安全生产：安全帽穿戴识别、安全背心穿戴识别。 \n 五、加油站安全类：打手机检测、抽烟检测、卸油人员离岗检测、稳油时限检测、油管拉断检测、加油机侧盖状态检测。 """
边缘AI分析仪可以接入的摄像头是模拟、数字摄像头都行吗？,""" 只支持数字摄像头。模拟摄像头因为像素较低产生对算法准确性较大，不建议使用"""
现有的AI 分析仪可对接几路摄像头？,"""建议对接4路摄像头，最高可支持8路摄像头的接入分析，每个摄像头可支持2-4中算法分析。"""
边缘AI分析仪一路摄像头可最多配置几种分析算法？,""" 1路摄像头可以带2种算法"""
AI 分析仪的产品优势有哪些？,""" 1）支持远程升级软件，免现场维护。 \n 2）数据传输量小，通信成本低。 \n 3）网络边缘引入人工智能，有效减少服务端运算压力。 \n 4）支持动态配置AI智能算法，灵活利用现有摄像头资源。 \n 5）无需改变原有监控网络、可利用原有摄像头设备，节约部署成本。"""
AI分析仪报警是否能查看报警时的图片？,""" AI分析仪在实时分析到场景报警后会将报警图片上传到平台 ，在平台Web端登入后进入物联监控-设备视角-视频监控系统-智能分析关联设备查看可以查看到各个AI设备报警历史和报警图片"""
AI分析仪对接入的摄像头有什么要求？ ,""" 最好能支持标准的全版ONVIF协议，相对来说做得比较好的是海康、大华等知名品牌摄像头，建议使用。很多山寨厂家的摄像头支持不完整或不支持。支持标准H264 码流的摄像头；清晰度要求越清晰越好，200 万像素摄像头为基本要求；镜头范围对要求识别的区域适配越窄越好，这样避免浪费大量计算资源在无用的范围上，而且识别区域、识别对象在成像中大小合适也能提高识别速度和精度。也就是说，在同样的距离上，满足识别区域的摄像机焦距越长越好。建议优先采用支持WDR宽动态的摄像头；"""
用户信息传输装置是否可以连接多台消防主机？,""" 一般情况下只能一台对一台，如果需要一台对多台，则增加数据扩展接口模块可实现15米内连接4台FAS主机。"""
用户信息传输装置最多可以连多少个消防点位？,""" 无限量，一般情况下主机连接多少点位即可全部连接。根据《火灾自动报警系统设计规范》要求,’一台火灾报警控制器带的编码型火灾探测器、手动报警按钮、控制模块、声光报警器等外部设备的总数不能超过3200个‘ , 也就是说一台消防主机最多能带的点位是3200个"""
烟雾检测设备能检测哪种类型的烟雾？不能检测哪种类型烟雾？,""" 能检测浓烟、白烟、黑烟，不能检测薄而透的烟"""
用你们的产品及软件和其他场景的平台都能实现智能报警，中电数通的产品优势具体是什么？,""" 我们的硬件产品与其他厂家生产的产品无本质区别，我们核心优势是有系统平台以及强大的接入能力。如果没有这个平台，别人买去的就是个硬件，我们有平台，就可以把所有的物联设施进行24小时实时监控，把数据纳入到系统平台，通过大数据分析和智能化研判，实时推送预警报警，实现对隐患实时、高效、智能、闭环管理""] "
用了中电数通的系统/产品，消防检查是否能通过？,""" 两个不同的概念，消防验收检查是针对消防工程公司所设计建设的消防工程所作的检查。中电数通的产品是在有消防设备上加装物联网监控芯片，将数据采集传输至云端，达到实时监控、防患预警。"""
中电数通的产品硬件是自己生产还是外采？,""" 中电数通是运用解决方案，做物联网集成、大数据应用的公司。因此，我们不生产任何硬件，但是我们的硬件的核心技术均由我们的硬件团队开发完成，我们公司的硬件很多在市场上技术以及垄断性、适用性都比很多专业的硬件公司更先进，我们是把我们的硬件和技术参数及要求给到行业内最专业的硬件公司生产（OEM）"""
系统平台能否接入119中心？,""" 主要取决于使用的客户，如果客户是政府的，则可以接入119中心，直接在系统上实现一键报警"""
民用电气火灾远程监测系统里的温度传感器设定的报警温度是多少度？,"""70°C"""
电气火灾装置安装在哪里？,"""电气火灾装置一般安装在配电箱处"""
项目实施是否会破坏原来的工程？,""" 对于园区、小区，有消防监控室和消防主机的，我们只需连接消防主机即可（消防主机 连接用户信息传输装置）。原有的工程不会破坏。如需要新增监测设备则新增的设备均采用无侵入方式安装。 对于三小场所等，如果旧设备不具备远程数据传输能力的，则需要更换设备"""
用了中电数通的系统/产品，消防检查是否能通过,""" 两个不同的概念，消防验收检查是针对消防工程公司所设计以及建设的消防工程所作的检查和我们系统关系不大，另外我们所使用的设备都是符合国家标准，得到国家认证的，能接受消防的验收"""
物联设备支持什么网络环境？,"” 三大运营商的网络均支持（移动、联通、电信）实际使用根据客户现场环境测试和需求而定，主要是2g/3g/4G/5G/NB-IoT """
物联设备的数据通过什么方式传输到云端？,""" 数据信息可通过有线网络传输，也可通过无线传输（NB、2G、4G等）"""
DTU是什么,""" DTU是**数据传输单元**的简写，是一种物联网云传输设备，专门用于将串口数据转换为IP数据或将IP数据转换为串口数据，通过无线通信网络进行传送。DTU常用于监测、控制、测量以及远程机房监测等领域，是物联网系统中的关键设备之一 。 可用如于粉尘探测、电气探测、可燃气体探测等的信号传输。可使用有线传输或者无线传输。可支持250路设备"""
用传是什么意思？,""" 用传是用户信息传输装置的简称，是一种用于对接消防主机并将监测到的数据传输到云端平台的设备。"""
用户信息传输装置是采用有线还是无线方式传输数据？,""" 用户信息传输装置（简称用传）支持有线和无线两种通信方式，可根据实际情况进行产品通信方式选择。"""
市面上消防设备需与中电的传输设备兼容是怎样的？,""" 理论上，消防设备只要有输出接口均可接入平台，但是需要与设备生产厂商签订相关协议。目前主流的生产商均可接入平台，极个别厂商无法接入，此类情况则需更换设备"""
什么是小微场所？,"""小微场所是指建筑面积在300平方米以下具有销售、服务、加工、生产性质的商店、营业性餐馆店、小吃店、汽车摩托车修理店、洗衣店、电器维修店、家庭作坊的小档口、小作坊、小娱乐场所等"""
小微场所需要安装哪些物联感知硬件设备？,""" 主要会涉及安装的物联感知硬件设备包括'独立式烟感'、'独立式可燃气体探测器'、'电气火灾探测器'、'红外存在感应器'、摄像头等，也可通过加装'无线通讯云传输器'接入本地的物联感知设备上传到云端等。"""
中电数通的软件产品涵盖哪些标准化系统?,""" 中电数通产品涵盖'小微场所安全服务系统'、'城市消防物联网监控系统'、'智慧微型消防站系统'、 '智慧用电安全系统'、'有限空间安全管理系统'、'安全监控智能分析系统'、'危险源信息管理体系统'、'社会化消防安全管理系统'等标准化可复制系统。"""
中电数通的平台采用何种技术架构开发？,"“ 采用了微服务架构，具备开放性，松耦合，灵活性，系统模块和功能可动态配置 """
物联设备上报数据到平台如何保证数据传输安全性？,""" 物联设备上报会经过身份校验，数据加密，传输通道加密等方式保证数据安全"""
中电数通系统平台是否能与第三方平台实现数据对接？,""" 平台基于开放性的原则，支持基于Restful API接口以及消息中间件的方式进行数据转发，通过消息订阅或接口调用方式实现实时数据传递"""
当平台接入大量物联设备时，设备报警量过多会不会造成我们监管时的困扰？,""" 慧安管理平台具备分层分级报警管理功能，首先会报警给直接单位的安全负责人，当逾期未处理时才会逐级进行上报，而且逾期时间也是在平台可以配置的"""
"设备频繁报警,导致手机APP和web系统一直收到推送消息，怎么办？",""" 可以在平台中将设备加入白名单，这样手机app和web端每天只会收到一次报警推送，既解决了频繁报警困扰用户问题同时也提醒了用户需要及时处理"""
